,S.NO.,Gender,Age,"Do you chalk your success up to fates, luck or
error?","Many times, you feel crushed by constructive criticism, seeing it as evidence of your ""ineptness""?","Do you believe ""If I can do it, anybody can""?",Do you agonize over the smallest flaws in your work?,Do you believe that everything you do must be completely perfect?,"In rare cases you feel crushed by constructive criticism, seeing it evidence of your ""ineptness""?",Do you feel incompetent despite attaining success?,You compare your abilities to people around you and think that others may be more intelligent than you.,You blame your luck for success rather than hard work,Do you think shortcut to success makes you smarter,You have doubts about your abilities despite people around you trusting you.,Do you often fear not meeting other people's expectations?,I am a perfectionist,Do you feel like a non-valuable member of the family if you don't participate in domestic work?,"""I have to be good at a particular activity to enjoy it"" (As in, if you picked up a new hobby like painting, the only way you feel good about doing it is if you are using perfect techniques and doing it the ""right"" way)",I believe that means is more important than the ends,"When people compliment you, you think you are not as accomplished as they think",Most of your success has been a stroke of luck,You have an above-average IQ score,Your emotional quotient is better than your general IQ score,You downplay compliments from others.,Do you feel like an unimportant family member if you don't involve in decision-making process?,Which places do you think you can be yourself without being judged?,comfort.home,comfort.college,comfort.friends,comfort.work,comfort.online,comfort.alterego,What places do you think you pretend to be someone you are not?,"At least 70% of individuals have dissatisfaction in their lives. Women mostly face self-image issues and in men, it is driven by the fear of not being successful or letting people down. Do you agree with this? And in your experience, how have you seen variances to the mentioned scenarios?","As the campus has reopened after conducting classes, examinations, and project reviews online over the past 2 years, do you feel that this might bring up changes in confidence levels, due to the adjustments which may have arisen doubts in self-esteem from the initial change of method?"
0,1,F,19,SD,N,SD,A,A,N,D,A,SD,SD,D,N,N,SD,D,N,D,D,SD,N,D,SD,"HOME,WITH FRIENDS",100,,,,,,NOWHERE,"YES,I AGREE","YES,IT MADE SOME CHANGES IN MY CONFIDENCE LEVEL.BUT I NEED TO LEARN TIME MANAGEMENT"
1,2,M,19,A,A,N,A,SA,A,D,N,D,SA,A,A,N,SD,SD,SA,D,SD,A,N,SD,SD,"HOME, WITH FRIENDS, ONLINE",70,50.0,80.0,40.0,70,100,WORK,"YES, FROM MY COLLEGE LIFE AND INSTANCES FROMMY LIFE",YES
2,3,M,19,N,A,SA,D,SD,A,N,N,N,A,D,D,SD,D,SA,N,D,D,SA,SA,A,D,"HOME, WITH FRIENDS",100,70.0,90.0,65.0,2,10,COLLEGE,"NO, I DON'T AGREE BUT I DO BELIEVE IT IS TRUE FOR OTHER INDIVIDUALS",YES 
3,4,M,20,A,A,N,A,A,A,N,A,A,D,A,A,A,A,A,N,A,N,A,SA,A,N,NOWHERE,50,50.0,90.0,30.0,50,60,NOWHERE,FEAR OF BEING JUDGED IS SOMETHING ALMOST EVERYONE STRUGGLES WITH AT DIFFERENT LEVELS IN MY OPINION,"DEPENDING ON HOW YOU TAKE IT,IT MIGHT LEAD TO ANXIETY."
4,5,M,21,N,A,D,D,A,SA,D,N,D,A,SD,N,A,SD,A,A,SD,SD,SA,SD,A,N,"HOME,ONLINE",100,80.0,80.0,,100,,"COLLEGE,WITH FRIENDS","YES,TRUE IS WORST OF THE CASES","YES,STUDENTS WILL GET TO SOCIALISE MORE AND INTERACT WITH MORE PEOPLE HENCE THEIR CONFIDENCE WILL GROW"
5,6,M,20,N,D,A,N,N,A,N,N,N,D,D,D,N,N,SD,N,D,D,A,N,A,A,HOME,100,90.0,95.0,80.0,95,95,WORK,"YES,MANY OF MY FRIENDS FACE THIS","YES, INTERACTIONS ONLINE AND OFFLINE ARE VERY DIFFERENT AND PEOPLE'S BEHAVIOUR CAN CHANGE DRASTICALLY"
6,7,,,A,N,A,A,SA,A,A,SA,SD,D,N,A,N,A,A,N,D,D,N,N,D,A,WITH FRIENDS,100,80.0,100.0,80.0,70,,ONLINE,YES. MANY A TIMES I FEEL LIKE I'M AN UNSUCCESSFUL PERSON WHO HAS DONE NOTHING IN THEIR LIFE AND I WANNA ACHIEVE THINGS,IN ONLINE IT WAS GOOD BUT IN OFFLINE WE CAN FACE AN AUDIENCE WHICH IS A BETTER EXPERIENCE BUT YEAH THERE ARE MANY ADJUSTMENTS THAT WE NEED TO MAKE WHILE TRANSITIONING FROM ONLINE TO OFFLINE
7,8,,,A,D,SA,A,N,D,A,A,D,SD,SD,A,D,N,D,SA,A,SD,A,N,A,D,"HOME,WITH FRIENDS",80,30.0,100.0,20.0,100,100,"COLLEGE,WORK",I AGREE TO THE ABOVE.I HAVE KIND OF EXPERIENCED IT MYSELF AS YOU TRANSITION FROM COLLEGE YOU HAVE THAT PRESSURE TO START EARNING MONEY.SO THAT YOU CAN FINANCIALLY UNBURDEN YOUR PARENTS.,"YES, IT MIGHT CHANGE BECAUSE PEOPLE WERE SITTING BEHIND COMPUTERS HIDING THEIR TRUE SELF"
8,9,M,19,N,SD,A,N,D,SD,D,SA,A,D,N,SA,N,D,D,N,SA,N,A,D,SA,N,HOME,90,70.0,85.0,50.0,90,70,NOWHERE,"SOMEWHAT AGREE,THERE IS ALWAYS BURDEN OF PROOF",NOT A MAJOR DIFFERENCE
9,10,M,21,N,D,A,N,SA,A,A,SA,D,N,SA,A,N,SD,SA,A,A,D,N,A,SA,SA,"COLLEGE,WITH FRIENDS",60,80.0,95.0,75.0,95,90,"HOME,WORK","AS A MALE, AGREE WITH HAVING THE FEAR OF NOT LIVING UP TO EXPECTATIONS.PERSONALLY, I ALSO HAVE SELF IMAGE STANDARDS ESPECIALLY AFTER HAVING SPENT SO MUCH TIME ON SOCIAL MEDIA SINCE THE STANDARDS OF WHAT PEOPLE SHARE ARE HIGH","YES,I CAN ALREADY FEEL THE DIFFERENCE IN HOW CONFIDENT I AM WITH MY LEARNINGS FROM CLASS.HOWEVER THE IN PERSON EXAMS AND REVIEWS ARE EXTREMELY ANXIETY INDUCING AMONG MYSLEF AND MY PEERS. IT FEELS LIKE WE'VE BEEN THROWN INTO THE DEEP END OF THE POOL"
10,11,M,,A,A,D,D,N,A,A,D,N,N,A,N,D,A,SD,D,N,SD,N,D,N,SA,NOWHERE,20,5.0,10.0,30.0,20,,COLLEGE,YES,YES
11,12,,,N,N,N,A,D,A,SA,SA,N,SD,SA,SA,SD,SA,D,N,SA,N,D,A,D,SA,NOWHERE,80,70.0,90.0,70.0,80,40,COLLEGE,"YES, I AGREE",YES THERE WILL BE CHANGES IN CONFIDENCE
12,13,M,20,N,N,A,SA,D,N,SA,N,SD,SD,SA,A,D,A,A,A,A,SD,N,A,N,SA,"HOME,COLLEGE,WITH FRIENDS",50,10.0,40.0,,,,"COLLEGE,ONLINE ",,"DEFINITELY,UP CHANGES FOR THE PEOPLE ALSO WERE FAIR ENOUGH EVEN IN ONLINE MODE"
13,14,M,20,A,D,D,A,SA,D,N,SA,N,A,SA,SA,N,SA,A,D,A,A,SA,N,SA,SA,"HOME,WITH FRIENDS",90,10.0,,,,,"COLLEGE,WORK,ONLINE",YES I AGREE,"YES IT MIGHT CHANGE THE LEVEL OF CONFIDENCE, BUT MANY PEOPLE SUFFER FROM SOCIAL ANXIETY."
14,15,F,20,N,A,SD,A,A,N,A,A,D,N,A,A,D,D,A,N,SD,SD,A,A,N,D,"HOME, WITH FRIENDS",100,90.0,100.0,75.0,50,,WORK,,YES IT MIGHT
15,16,,,A,A,A,A,N,SA,A,N,SA,A,N,A,N,SA,A,A,SA,A,N,A,SA,A,WITH FRIENDS,70,70.0,80.0,70.0,90,70,WORK,YES,YES 
16,17,M,21,A,N,D,A,SA,N,A,SA,A,D,D,A,SA,D,N,A,A,D,A,A,N,D,"HOME,ONLINE",100,10.0,50.0,50.0,80,50,COLLEGE,I AGREE AS THERE ARE MANY PEOPLE WHO MIGHT KEEP EXEPCTATIONS ON AN INDIVIDUAL FOR WHICH HE MIGHT FEEL DISSATISFACTION IF HE IS UNABLE TO REACH THOSE GOALS,"YES, AN OFFLINE SYSTEM OF STUDY WOULD BRING A MUCH DISCIPLINED ENVIRONMENT TO TAKE EXAMS,REVIEWS. IT WILL BOOST UP OUR CONFIDENCE"
17,18,F,,N,A,N,A,A,A,N,A,SD,SD,A,A,N,SD,N,SA,N,SD,A,N,A,N,HOME,100,90.0,85.0,90.0,80,,NOWHERE,I FACE THE FEER OF NOT BEING ABLE TO DO WELL IN ANY FIELD,YES IT WILL
18,19,M,21,N,N,N,D,D,N,A,N,D,D,N,A,N,SD,D,A,D,D,A,N,N,SD,"HOME,WITH FRIENDS,ONLINE",95,50.0,85.0,50.0,100,100,NOWHERE,I DISAGREE WITH THIS AS SELF WORTH IS VERY IMPORTANT.MOREOVER ACKNOWLEDGING IS EVEN MORE ESSENTIAL.LIVING UP TO ONE'S OWN EXPECTATION IS GOOD BUT LOOKING UP TO OTHERS' IS NOT,YES. AS BEING ONLINE HAS INSTALLED A SNESE OF COMFORT. BEING PRESENT OFFLINE AND THE SUDDEN SHIFT MIGHT BE A LITTLE TOO MUCH TO BEAR.BEING BEHIND A SCREEN AND BEING IN PERSON ARE TWO THINGS WHICH ARE OPPOSITE IN NATURE
19,20,,,SD,,SA,SA,SA,SD,N,N,SA,N,A,SD,SD,SD,D,SA,SA,SA,N,N,N,N,WITH FRIENDS,,,,,,,NOWHERE,,
20,21,,,D,N,D,A,N,D,N,A,N,A,A,N,D,A,N,D,A,D,A,N,N,D,HOME,95,50.0,60.0,40.0,70,30,"COLLEGE, WITH FRIENDS, WORK","DURING WORK, THERE IS A COMPARISON WITH OTHER PEOPLE",YES
21,22,F,20,SA,SA,SA,SD,SA,SA,SD,A,D,SA,SD,SD,A,SD,N,SD,A,A,A,SA,N,SD,"HOME, COLLEGE, WITH FRIENDS, WORK, ONLINE",100,100.0,100.0,100.0,100,50,NOWHERE,NO COMMENTS,NO COMMENTS
22,23,M,22,A,N,SA,A,A,N,D,A,D,N,A,A,A,N,D,A,N,D,A,N,D,A,WITH FRIENDS,50,40.0,90.0,90.0,20,80,"COLLEGE,WORK",MEN ARE NOT ONLY FEARFUL OFNOT BEING SUCCESSFUL BUT ALSO SCARED THAT THEY MIGHT NEVER BE LOVED FOR WHO THEY ARE .MEN ARE ALWAYS EXPECTED TO GIVE SOMETHING MUCH MORE IN RETURN,"YES,REOPENING OF COLLEGE WILL HAVE A POSITIVE IMPACT ON CONFIDENCES BUT AT THE SAME TIME IT'S MORE TIME COMMONLY THAN ONLINE CLASSES AND AS A RESULT STUDENTS HAVE LESS TIME ON THEIR HANDS"
23,24,M,21,N,A,SA,A,SA,N,A,SA,D,SD,SA,SA,D,SA,D,SA,SA,A,D,A,SA,D,WITH FRIENDS,75,50.0,80.0,50.0,100,100,COLLEGE,YES I AGREE AND I TOO AM WORRIED OF LETTING PEOPLE DOWN WHEN GIVEN A TASK.THIS IS ALSO A BEST MOTIVATION OR CHALLENGE FOR ME TO GIVE MY BEST,YES IN MY CASE IT MAKES ME MORE NERVOUS FOR OFFLINE EXAMS AND MAKES ME WORRIED 
24,25,F,19,SD,N,SA,N,A,A,A,SA,D,SD,A,SA,SA,N,SA,N,A,SD,A,A,,A,"HOME,ONLINE",90,65.0,50.0,60.0,95,,WORK,"YES,INCASE OF MYSELF I'M MYSELF VERY SELF CONCIOUS ABOUT MY IMAGE.I'VE SEEN BROTHERS AROUND BEING BOGGGED DOWN BY THE PRESSURE",YES! I HAVE BECOME MORE INDEPENDENT AND ON MY FEET BUT MANAGING ACADEMICS AND PRIORITISING IS BECOMING A CONCERN
25,26,M,19,D,A,A,A,D,N,A,A,D,SD,N,A,N,D,N,A,D,D,A,N,N,D,WITH FRIENDS,100,75.0,100.0,80.0,60,0,NOWHERE,"YES,I AGREE, NO ONE APPRECIATES YOU IN YOUR BAD TIMES BUT ONCE YOU SUCCEED, THEY JUST PRETEND LIKE SOMEONE THEY WERENT","YES,NOW WE HAVE TO FACE EVERYTHING PHYSICALLY SO IT IS OBVIOUSLY GONNA BE VERY DIFFERENT BUT YES ITS GONNA IMPROVE OUR CONFIDENCE ALOT."
26,27,M,20,D,D,A,N,N,A,D,D,SD,D,D,D,D,D,D,N,D,SD,A,SD,SA,N,"HOME, WITH FRIENDS",100,80.0,80.0,,,,,"TRUE, YES","YES, ALTHOUGH IT MIGHT BE HARD NOW, IT WILL BE FINE SOON"
27,28,,,A,A,N,A,N,SA,A,N,A,N,SA,A,N,SA,A,N,SA,N,A,N,A,SA,NOWHERE,20,1.0,7.0,5.0,10,100,,AGREE,FULLY IN DOUBT
28,29,M,21,N,N,A,A,SA,N,N,A,N,SD,D,D,A,A,N,A,N,SD,N,A,A,N,WITH FRIENDS,100,35.0,50.0,50.0,80,50,WORK,"YES I AGREE ,IN COLLEGE BOYS ARE WORRIED ABOUT PLACEMENT WHILE GIRLS ABOUT SELF IMAGE.",YES FOR SOME WHO USED UNFAIR MEANS FOR EXAMS AND REVIEWS ONLINE. FOR HONEST PEOPLE NOTHING TO WORRY!
29,30,F,20,N,D,SA,A,N,N,D,A,D,D,A,SA,SD,A,A,N,N,D,N,D,SD,D,"HOME,WITH FRIENDS",100,75.0,90.0,75.0,50,,NOWHERE,I AGREE TO THE FACT THAT IT IS HAPPENING BUT ONLY BECAUSE OF HOW WE GREW IN SOCIETY.THIS NEED BE TRUE AT ALL,THERE WOULD SURELY BE SOME CHANGE IN THE CONFIDENCE LEVEL BECAUSE THERE OWULD BE ACTUAL PEOPLE IN FRONT OF ME WHILE IN ONLINE I WOULDN'T CARE MUCH WHAT OTHER POEOPLE WOULD HAVE THOUGHT OF ME!
30,31,F,22,N,D,A,A,SA,N,A,A,D,D,D,A,SA,A,,SA,A,D,SA,A,A,A,"HOME, WITH FRIENDS, ONLINE",100,90.0,95.0,90.0,100,100,NOWHERE,YES,YES
31,32,M,20,A,D,A,D,D,A,A,A,A,A,A,A,SD,D,A,A,A,A,A,A,A,A,ONLINE,,,,,100,,WITH FRIENDS,,
32,33,M,20,D,N,A,A,N,N,N,A,N,D,N,A,N,N,A,A,N,D,A,N,A,D,"WITH FRIENDS,ONLINE",80,50.0,90.0,30.0,95,10,"COLLEGE,WORK,ONLINE","YES, I AGREE WITH THIS.I'VE SEEN MEN HAVING THE FEAR OF NOT BEING SUCCESSFUL OR NOT BEING USEFUL TO ANYONE AND BEING DEPRESSED OVER THINGS THAT THEY CAN'T CONTROL",YES.EVERYBODY IS FACING A DIP IN CONFIDENCE LEVELS AS IN ONLINE MODE IT WAS MORE CONVENINET.BUT EVERYONE IS SLOWLY BUT SURELY ADAPTING TO THE NEW/OLD WAYS OF GIVING IT IN OFFLINE.EVERYONE IS AFRAID OF PEOPLE BEING JUDGEMENTAL AND THEY FEEL LIKE THEY ARE NOT ENOUGH OR WHAT THEY ARE DOING IS NOT ENOUGH.
33,34,M,19,D,A,N,,D,A,N,A,N,D,A,N,D,D,N,N,N,D,N,N,N,D,"HOME, WITH FRIENDS",80,70.0,80.0,60.0,70,70,WORK,,
34,35,M,19,D,D,A,A,N,SD,A,A,D,A,A,A,A,D,D,N,A,D,A,D,A,D,"HOME, WITH FRIENDS, ONLINE",100,80.0,75.0,80.0,70,100,NOWHERE,YES,YES
35,36,M,19,SD,A,D,A,D,N,D,A,SD,D,D,N,N,SD,SD,A,D,D,A,N,N,D,ONLINE,100,80.0,90.0,80.0,100,75,WORK,YES THIS IS COMMON,"YES, DEFINITELY"
36,37,F,19,D,D,A,D,N,N,N,N,D,N,N,A,A,N,N,SA,N,D,A,A,N,D,HOME,100,80.0,85.0,,100,,NOWHERE,I AGREE WITH THIS TO SOME EXTENT. I ALWAYS MOTIVATE MYSELF AND TRY TO EXPLORE VARIOUS THINGS,YES.BUT I THINK WE'LL GET USED TO IT.
37,38,F,19,SD,N,D,SA,SA,A,N,D,N,D,D,N,SA,D,SD,SA,N,SD,N,SA,D,A,"HOME,WITH FRIENDS,ONLINE",70,40.0,90.0,,100,,NOWHERE,"I AGREE AND DISAGREE, THE ABOVE SCENARIO IS TRUE,BUT MOSTLY APPLICABLE IN THE PREVIOUS GENERATION.ACCORDING TO ME, THE ABOVE SCENARIOS ARE CHANGING DUE TO RECENT TRENDS AND MORE TALK ABOUT BEING CONFIDENT IN YOUR OWN SKIN","I DEFINITELY AGREE TO THIS,MEMORISING AND SITTING IN CLASS AFTER 3 YEARS IS A HUGE CHANGE.GRADE DROP IS INDIRECTLY RELATED TO CONFIDENCE FOR SOME. SO THEREFORE IT IS A DIFFICULT CHANGE WE MUST OVERCOME KEEPING IN MIND THAT GRADES ARE IMPORTANT BUT OUR WHOLE LIFE IS SOLELY NOT DEPENDENT ON THEM"
38,39,M,20,SD,SD,SA,N,A,SD,SD,SD,SD,SD,SD,SD,N,SD,N,N,SD,SD,A,N,D,SD,HOME,100,20.0,90.0,10.0,10,0,"COLLEGE,NOWHERE","YES,BUT AS A PERSON ONE SHOULD BE CONFIDENT IN ONESELF.COURAGE,PEREVERANCE ODD UP ON IT WILL LEAD YOU INTO BETTER PERSON",
39,40,M,20,SA,A,A,A,N,N,A,A,SA,A,SA,A,N,A,A,N,N,D,SA,A,N,SA,HOME,95,30.0,50.0,40.0,80,70,COLLEGE,YES,YES
40,41,M,20,N,A,A,A,N,A,D,A,N,A,A,A,D,A,N,A,N,N,A,N,A,D,"HOME,WITH FRIENDS",85,60.0,70.0,50.0,70,80,"COLLEGE,WORK","STRONGLY AGREE,THE VALUE OF A PERSON IS JUDGED BASED ON THE QUALITIES WITHIN THE PERSON","YES,ONLINE MEANS ARE DEPRIVING A STUDENT FROM INTERACTING AND COMMUNICATING PHYSCIALLY WHICH IS AS IMPORTANT FOR ONE'S CHARACTER DEVELEOPMENT AS IT IS IMPORTANT TO GAIN TECHNICAL SKILLS"
41,42,M,19,D,N,SA,A,A,N,A,SA,A,A,N,A,N,A,N,A,A,N,A,D,N,N,NOWHERE,100,80.0,90.0,50.0,20,DON'T HAVE,WORK,,
42,43,,,SA,A,N,SA,A,D,A,SA,N,SA,A,SA,SD,N,A,N,SA,N,N,A,A,A,NOWHERE,80,0.0,30.0,,50,90,"COLLEGE, WITH FRIENDS, ONLINE","YES, IN SOCIAL MEDIA, CAMPUS LIFE, HOSTEL LIFE, ETC",YES
43,44,M,21,N,A,A,A,SA,A,D,A,A,SA,D,A,N,N,A,N,D,D,A,SA,A,D,"COLLEGE,WORK",80,60.0,70.0,30.0,20,,WITH FRIENDS,I AGREE TO IT.IF WE DIDN'T SET SUCCESS WE WILL BE IN  DEPRESSION AND TO COMEBACK IT WILL BE DIFFICULT,YES
44,45,M,21,D,N,SD,SA,A,N,D,A,D,A,SA,A,A,D,D,SA,A,D,A,D,A,A,"HOME,WITH FRIENDS,ONLINE",90,50.0,80.0,,90,90,COLLEGE,AGREE,YES
45,46,M,19,SD,D,N,A,A,A,N,A,SD,D,A,SA,N,N,D,A,A,N,N,SD,A,N,"HOME,COLLEGE,WITH FRIENDS",80,80.0,95.0,,95,,"HOME,WORK",YES,YES
46,47,M,20,N,A,SA,N,A,SA,A,N,A,SA,A,A,N,N,,N,A,N,A,N,SA,N,HOME,100,90.0,100.0,90.0,90,80,NOWHERE,NO I DON'T AGREE,YES
47,48,M,19,D,A,N,A,A,A,A,N,SD,D,A,A,A,D,D,N,N,D,A,N,D,A,"HOME,COLLEGE,WITH FRIENDS,ONLINE",100,70.0,90.0,0.0,100,100,NOWHERE,I DO NOT AGREE WITH THIS BECAUSE EVERYBODY SHOULD BE THE WAY THEY ARE AND MUST EMBRACE IT,"THERE WONT BE ANY CHANGES IN CONFIDENCE LEVEL,BUT YES, ADJUSTING TO THIS WHOLE NEW ENVIRONMENT AFTER 2 YEARS,MIGHT BE A TAD BIT TIME CONSUMING"
48,49,F,20,A,D,A,D,D,D,A,A,D,A,A,A,SD,A,N,A,A,D,A,SA,SA,A,"HOME, COLLEGE, WTH FRIENDS",90,80.0,80.0,,,,,,
49,50,M,21,N,A,,D,N,A,D,D,N,A,N,SA,N,N,N,A,N,SD,N,D,N,D,"HOME, WITH FRIENDS, ONLINE",100,70.0,90.0,70.0,80,80,ONLINE,NEUTRAL PERSPECTIVE AS BEING SUCCESSFUL REQUIRES EFFORT,"NO, REMAINS SAME"
50,51,F,20,A,A,SA,SA,A,SA,A,SA,N,N,A,A,N,A,N,A,N,N,A,A,N,N,"HOME, COLLEGE, WITH FRIENDS",90,60.0,80.0,,,,"WORK, ONLINE",,
51,52,,,D,N,D,D,SA,D,A,SD,SD,D,N,N,N,N,N,N,N,N,N,N,N,N,HOME,90,80.0,80.0,80.0,80,80,NOWHERE,,
52,53,M,19,N,A,A,,SA,A,D,D,SD,A,A,D,D,N,SD,D,A,A,N,N,D,SD,WITH FRIENDS,95,50.0,100.0,,95, NA,NOWHERE,YES I HAVE FACED THIS SITUATION WHEN I SEE BOYS ELDER TO MY AGE SUFFERING ECONOMICAL AND SOCIAL CRISIS I FEAR ABOUT THEM,
